id;amount;price;discount_value;discount_code;total;created_at;order_id;product_id
1;52870;31586;17805;multi-tasking invoice;55938;2022-04-05;1;1
2;27302;5747;52580;ivory Industrial dynamic;43063;2022-04-06;2;2
3;58430;74129;14941;Delaware;49783;2022-04-05;3;3
4;85268;57876;60563;Profit-focused;59024;2022-04-05;4;4
5;7163;86338;80964;withdrawal Account;39823;2022-04-06;5;5
6;67341;97604;8776;Chicken;530;2022-04-05;6;6
7;60342;53231;19282;gold encoding parsing;13686;2022-04-05;7;7
8;79631;68860;97645;Analyst;22053;2022-04-05;8;8
9;20355;10145;79642;Lead high-level;86086;2022-04-05;9;9
10;88129;86950;50266;Forward copying parsing;69428;2022-04-06;10;10
