id;payment_type;provider;balance;user_id
1;actuating invoice;Open-architected matrix Table;23879;1
2;Avon Agent Down-sized;Bedfordshire;89389;2
3;Russian back Representative;Convertible application;77948;1
4;indigo;Well Engineer;70431;2
5;Account indigo Human;harness;38405;1
6;digital;Forward;10158;2
7;redundant primary hack;Chips Incredible;63422;1
8;salmon Hryvnia Intranet;Bedfordshire Consultant Shoal;76329;2
9;Mississippi Swaziland;generate Arab turquoise;97517;1
10;empowering EXE;Mews vortals;59455;2
